5260VA2L 投注内容：02468 玩法：260 元角分：0.002 倍数：1 注数：5 时间：02-20 01:29:30

36254PYF 投注内容：123456789,123456789 玩法：254 元角分：0.002 倍数：1 注数：504 时间：03-03 23:11:07

36258VFL 投注内容：123456789,123456789 玩法：258 元角分：0.002 倍数：1 注数：72 时间：03-03 23:12:07

362NRLNH 投注内容：45,45,45,45,45 玩法：2 元角分：0.002 倍数：1 注数：32 时间：03-03 23:19:07

362PJLKN 投注内容：45,45,45,45,45 玩法：2 元角分：0.002 倍数：1 注数：32 时间：03-03 23:20:17

362ZEAAP 投注内容：45,67,23,89,01 玩法：2 元角分：0.002 倍数：1 注数：32 时间：03-03 23:20:53

3626338J 投注内容：456 玩法：263 元角分：0.002 倍数：1 注数：3 时间：03-03 23:30:16

36263FFI 投注内容：4 玩法：263 元角分：2 倍数：1 注数：1 时间：03-03 23:31:22

362636OB 投注内容：4 玩法：263 元角分：0.02 倍数：1 注数：1 时间：03-03 23:31:44

362639JA 投注内容：5 玩法：263 元角分：0.02 倍数：1 注数：1 时间：03-03 23:53:42

36263WW9 投注内容：5 玩法：263 元角分：0.02 倍数：2 注数：1 时间：03-03 23:54:13

