36253VWC 投注内容：0123456789 玩法：253 元角分：0.02 倍数：1 注数：252 时间：12-07 17:56:40

363721QK 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:11:18

36377LWZ 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:11:51

3637L3ZM 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：2 注数：6 时间：12-07 18:12:55

36373N4P 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:13:17

363787E4 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:13:51

3637847H 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：2 注数：6 时间：12-07 18:15:53

3637NUIJ 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：4 注数：6 时间：12-07 18:16:27

3637FTQS 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:16:47

363765WG 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:17:13

3637EGKK 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:18:11

3637WMLY 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：3 注数：6 时间：12-07 18:19:22

3637RCB8 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:19:43

3637YPVO 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:20:26

3637TZME 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：3 注数：6 时间：12-07 18:22:42

3637KIL5 投注内容：234567,-,-,-,- 玩法：37 元角分：2 倍数：1 注数：6 时间：12-07 18:23:23

3637596W 投注内容：234567,-,-,-,- 玩法：37 元角分：2 倍数：1 注数：6 时间：12-07 18:23:42

3637M7KY 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:24:44

36253GDN 投注内容：2345678 玩法：253 元角分：0.02 倍数：1 注数：21 时间：12-07 18:29:42

36378NUT 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:31:14

3637X36R 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:37:14

36375Z6B 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:37:44

3637XU5R 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:38:11

3637T9CJ 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:38:41

3637EYSA 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:39:40

3637W5KH 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:40:12

3637UUT4 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-07 18:41:09

36378R3W 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：3 注数：6 时间：12-07 18:42:57

3637WAHR 投注内容：234567,-,-,-,- 玩法：37 元角分：2 倍数：1 注数：6 时间：12-07 18:43:27

5263UT6B 投注内容：4 玩法：263 元角分：2 倍数：1 注数：1 时间：12-08 10:42:31

537VPN54 投注内容：-,-,-,-,234567 玩法：37 元角分：2 倍数：1 注数：6 时间：12-08 10:59:12

537Q8GZ6 投注内容：-,234567,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 11:01:07

537AXAC4 投注内容：-,234567,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 11:02:00

537TE9AT 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 13:53:07

5376QDV7 投注内容：-,-,234567,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 14:44:52

5379W9KX 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:22:06

5377AEA0 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:22:51

5372066W 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:23:45

5377W283 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：3 注数：6 时间：12-08 23:26:07

537VTAV9 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:26:44

537ENZ8K 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:27:48

537SNAHA 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：2 注数：6 时间：12-08 23:29:45

537P2PV2 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:30:39

537SU9PJ 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:31:39

537DO3BE 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:33:41

